job_title,company_name,post_date,number_of_employees,num_applicants,job_type,job_level,job_remote,language,salary,sector,source,search_term
Senior Data Analyst (m/f/d),baupal GmbH,19-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Senior Data Analyst (f/m/d),baupal GmbH,19-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Cloud and DevOps Engineer (Kubernetes),Datatroniq GmbH,22-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
DevOps Engineer - Linux Network Security (f/m/d),1&1 Mail & Media,17-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
"Senior Analyst, International Tech Risk & Controls",Coinbase Germany GmbH,15-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
Senior Product Manager Data & Analytics (m/w/d),YOUMMDAY GmbH,16-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
Machine Translation Specialist (f/m/d),Milengo GmbH,22-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
Principal Data Architect (m/f/d),ThoughtWorks Deutschland GmbH,21-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Business Analyst - Credit,Avaloq Sourcing (Europe) AG,21-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Senior Data Consultant,Gemma Analytics GmbH,17-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
Business Analyst - Credit,Avaloq Sourcing (Europe) AG,16-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Business Analyst - Credit,Avaloq Sourcing (Europe) AG,15-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
"Senior Ads Measurement Partner, Germany",Netflix Services Germany GmbH,22-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Consultant - Digital Analytics (m/w/d) for Berlin,Digitl GmbH,15-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
PMS Hospitality Implementation Consultant (German Speaker) (m/f/d),Shiji Deutschland GmbH,08-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
(Senior) Product Manager (m/f/d),Verivox GmbH,15-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
(Senior) Marketing & Tracking Analyst,Gemma Analytics GmbH,16-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Marketing Executive - SEM (Arabic Speaking),AsianBeautyWholesale EU GmbH,21-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Data Engineer (m/f/d),Meetrics GmbH,22-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
"Environmental Compliance Program Manager (Fixed Term Contract), Extended Producer Responsibility (all genders)",Amazon Europe Core,17-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
"System Development Engineer, In-House Controls, Central Engineering (m/w/d)",Amazon Europe Core,08-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Enterprise Architect (f/m/d) SAP MaxAttention Transformation Hub,SAP SE,15-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
"Environmental Compliance - Senior Program Manager, Extended Producer Responsibility",Amazon Europe Core,15-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Hardware Design Engineer (m/w/x),EvoLogics GmbH,08-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Controller (all genders),ParshipMeet Group,01-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
(Senior) Controller (m/f/d),meinestadt.de,15-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Site Reliability Engineer (f/m/d),1&1 Mail & Media,17-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
SEO Manager (all genders),Flaconi GmbH,17-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
"Process Expert Continuous Improvement, EU Amazon Transportation Services ACES",Amazon Europe Core,22-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Senior Solution Customer Success Manager (f/m/d) for SAP Business AI,SAP SE,16-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
"Transportation Audit & Compliance Manager, Transportation Risk & Compliance (m/w/d)",Amazon Europe Core,08-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
Senior SEO Manager (all genders),Flaconi GmbH,17-01-2025,,,Full-time,,On-site,en,,IT Services and IT Consulting,stepstone,data analyst
(Senior) Media Manager (m/f/d),Stepstone GmbH,16-01-2025,,,Full-time,,Hybrid,en,,IT Services and IT Consulting,stepstone,data analyst
